cnt,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
34,1,0,3,6,0,1,1,1,0.2,0.1818,0.75,0.3881
343,4,0,12,14,0,6,0,1,0.36,0.3788,0.46,0
4,4,0,11,3,0,2,1,2,0.54,0.5152,0.68,0.3284
85,1,1,1,6,0,2,1,1,0.14,0.1212,0.59,0.2836
331,3,1,9,15,0,5,1,1,0.8,0.7576,0.55,0.2537
10,2,1,3,3,0,5,1,1,0.52,0.5,0.88,0.1045
361,3,0,7,16,0,5,1,1,0.72,0.6667,0.51,0.194
104,2,0,5,10,0,2,1,3,0.54,0.5152,0.88,0.2537
50,4,1,11,7,0,0,0,1,0.26,0.2727,0.65,0.1045
163,4,0,12,17,0,0,0,1,0.28,0.3182,0.3,0
170,3,1,9,23,0,4,1,1,0.58,0.5455,0.73,0.1045
47,1,0,2,10,0,2,1,2,0.16,0.2273,0.93,0
288,2,0,5,16,0,4,1,2,0.64,0.6212,0.57,0.2537
483,2,1,5,7,0,3,1,3,0.6,0.5758,0.78,0.194
16,2,1,5,2,0,4,1,1,0.6,0.5455,0.88,0
8,1,1,1,4,0,6,0,1,0.26,0.2576,0.6,0.1642
250,2,0,6,20,0,5,1,1,0.76,0.7121,0.62,0.1045
186,2,1,5,9,0,1,1,3,0.56,0.5303,0.88,0.2239
118,4,1,11,6,0,3,1,2,0.26,0.2424,0.56,0.2836
74,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642
95,2,0,6,10,0,1,1,1,0.72,0.6667,0.51,0.2239
205,4,1,11,11,0,2,1,2,0.42,0.4242,0.67,0.0896
4,3,1,7,4,0,2,1,1,0.68,0.6364,0.79,0.1343
274,2,1,6,9,0,0,0,1,0.56,0.5303,0.68,0.1642
171,2,1,5,10,0,2,1,1,0.62,0.5909,0.78,0.1045
167,3,0,9,22,0,5,1,1,0.48,0.4697,0.67,0.0896
104,1,1,1,6,0,2,1,1,0.28,0.2727,0.52,0.1642
178,2,0,6,14,0,3,1,1,0.74,0.6515,0.28,0
124,3,0,9,14,0,3,1,1,0.78,0.7121,0.52,0.2239
426,2,0,4,16,0,6,0,1,0.6,0.5909,0.73,0.2836
88,1,1,2,20,0,0,0,1,0.32,0.3182,0.42,0.1642
30,1,0,1,11,0,5,1,3,0.18,0.2121,0.93,0.1045
152,4,0,11,14,0,4,1,1,0.52,0.5,0.52,0.1642
235,3,1,8,22,0,3,1,1,0.66,0.6212,0.54,0
478,4,0,11,8,0,3,1,1,0.28,0.2727,0.81,0.194
78,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582
481,3,1,7,18,0,6,0,1,0.82,0.7424,0.43,0.2836
226,3,1,8,23,0,4,1,1,0.7,0.6515,0.54,0.1045
119,2,1,6,8,0,0,0,1,0.56,0.5303,0.68,0.2537
217,2,1,5,22,0,6,0,2,0.58,0.5455,0.78,0.194
211,1,1,3,11,0,4,1,1,0.56,0.5303,0.6,0.1343
277,1,1,3,21,0,2,1,1,0.56,0.5303,0.73,0
209,4,0,11,20,0,2,1,1,0.4,0.4091,0.71,0
365,4,1,10,14,0,5,1,1,0.66,0.6212,0.61,0.2537
106,4,0,11,22,0,6,0,2,0.38,0.3939,0.62,0.1642
311,4,0,11,7,0,1,1,2,0.28,0.3182,0.93,0
232,3,1,9,9,0,0,0,2,0.7,0.6667,0.84,0
181,3,1,8,22,0,0,0,1,0.7,0.6515,0.58,0.1343
57,3,1,7,3,0,0,0,2,0.68,0.6364,0.89,0.1642
122,4,1,12,23,0,5,1,2,0.36,0.3636,0.93,0.0896
398,3,0,8,17,0,0,0,1,0.76,0.6818,0.4,0.2985
149,2,1,5,23,0,6,0,2,0.56,0.5303,0.83,0.2836
55,2,0,4,22,0,6,0,1,0.32,0.303,0.61,0.2985
233,2,1,5,21,0,0,0,1,0.64,0.6061,0.69,0.3881
314,2,1,6,20,0,0,0,1,0.66,0.6212,0.39,0.194
8,1,0,3,0,0,3,1,3,0.3,0.2879,0.93,0.2537
103,2,0,5,23,0,4,1,2,0.54,0.5152,0.77,0.194
196,1,1,12,12,0,0,0,1,0.3,0.2879,0.42,0.194
96,1,0,3,14,0,3,1,1,0.52,0.5,0.23,0.2985
267,2,1,6,13,0,2,1,2,0.6,0.6212,0.46,0.1642
59,2,0,5,21,0,6,0,3,0.54,0.5152,0.94,0.2239
5,1,1,1,1,0,1,1,1,0.24,0.2424,0.6,0.1343
300,2,1,6,9,0,0,0,1,0.6,0.6212,0.46,0.194
62,3,0,8,2,0,0,0,3,0.64,0.5758,0.89,0.2239
41,3,1,8,1,0,5,1,1,0.7,0.6515,0.65,0.1045
213,4,1,11,12,0,4,1,2,0.36,0.3636,0.62,0.1045
125,1,1,12,18,0,0,0,2,0.24,0.2121,0.44,0.2985
19,3,1,8,6,0,0,0,1,0.72,0.697,0.79,0.2537
111,2,1,3,22,0,0,0,1,0.46,0.4545,0.82,0.1343
142,4,0,11,11,1,4,0,1,0.42,0.4242,0.41,0.2985
109,4,0,10,6,0,2,1,1,0.46,0.4545,0.82,0.0896
21,2,1,5,6,0,0,0,1,0.52,0.5,0.68,0.1642
202,1,0,12,12,0,4,1,2,0.48,0.4697,0.55,0
8,2,1,6,4,0,6,0,1,0.54,0.5152,0.68,0.1343
38,2,0,4,12,0,2,1,2,0.34,0.303,0.71,0.3881
28,4,0,12,0,0,2,1,2,0.5,0.4848,0.77,0.2985
20,2,0,5,5,0,1,1,2,0.44,0.4394,0.77,0.1343
347,3,1,9,9,0,5,1,2,0.62,0.5909,0.78,0.1642
280,2,1,5,12,0,3,1,2,0.62,0.6212,0.57,0.2239
51,4,1,12,23,0,0,0,2,0.42,0.4242,0.82,0.1343
208,3,0,7,9,0,1,1,1,0.78,0.7424,0.59,0.2985
56,4,0,11,2,0,0,0,1,0.4,0.4091,0.62,0.2836
39,2,0,5,0,0,0,0,2,0.52,0.5,1,0
576,3,0,8,18,0,2,1,1,0.7,0.6364,0.45,0.1642
129,4,0,10,10,0,1,1,2,0.46,0.4545,0.82,0.2537
62,4,0,11,15,0,4,1,3,0.36,0.3333,0.81,0.2985
20,4,1,12,6,0,6,0,2,0.36,0.3636,0.93,0.1045
35,2,0,5,0,0,3,1,3,0.6,0.5606,0.83,0.2239
37,1,1,12,1,0,6,0,2,0.24,0.2424,0.75,0.0896
65,4,1,11,0,0,5,1,2,0.32,0.3333,0.66,0.1045
155,4,1,11,15,0,2,1,2,0.3,0.2727,0.75,0.2985
5,3,0,9,3,0,1,1,2,0.5,0.4848,0.77,0.1343
834,2,1,6,17,0,1,1,1,0.64,0.6212,0.38,0.4478
165,2,0,3,16,0,2,1,1,0.5,0.4848,0.42,0.1045
205,4,0,12,20,0,1,1,2,0.46,0.4545,0.82,0.1045
234,2,1,4,21,0,4,1,1,0.42,0.4242,0.47,0.194
209,1,1,3,15,0,3,1,1,0.54,0.5152,0.37,0.4478
70,1,0,12,21,0,3,1,1,0.22,0.2273,0.44,0.1343
46,1,1,2,1,0,6,0,1,0.34,0.303,0.42,0.3582
12,3,0,7,1,0,3,1,1,0.76,0.697,0.55,0
133,1,1,2,10,0,3,1,1,0.4,0.4091,0.62,0.1343
35,1,1,2,23,0,0,0,2,0.22,0.2273,0.93,0.1642
51,1,0,2,21,0,6,0,1,0.26,0.303,0.41,0
11,1,1,12,5,0,4,1,1,0.24,0.2424,0.75,0.1642
423,3,1,6,19,0,0,0,1,0.8,0.7121,0.38,0.2985
84,3,1,8,2,0,6,0,1,0.72,0.7121,0.84,0.1343
2,2,0,4,3,0,5,1,1,0.36,0.3333,0.53,0.2985
745,4,1,10,8,0,5,1,1,0.42,0.4242,0.71,0.0896
206,4,0,9,21,0,5,1,1,0.52,0.5,0.55,0.194
220,4,1,12,13,0,1,1,3,0.44,0.4394,1,0.2239
131,3,1,7,6,0,5,1,1,0.74,0.697,0.66,0.194
243,1,1,3,21,0,4,1,1,0.54,0.5152,0.68,0.2836
556,3,0,8,18,0,3,1,1,0.76,0.697,0.55,0.2537
205,2,0,4,16,0,1,1,1,0.6,0.6212,0.46,0.2836
425,1,1,2,18,0,2,1,1,0.38,0.3939,0.4,0.4478
10,4,0,12,1,0,4,1,1,0.26,0.2424,0.6,0.2836
26,3,0,8,5,0,1,1,1,0.66,0.6061,0.83,0.1045
4,1,0,12,3,0,5,1,3,0.38,0.3939,0.94,0.1343
553,2,0,5,17,0,5,1,1,0.58,0.5455,0.4,0.3582
137,1,1,3,10,0,1,1,1,0.4,0.4091,0.5,0.2239
633,3,1,7,19,0,3,1,1,0.74,0.6667,0.48,0.2239
57,1,1,2,20,0,0,0,1,0.14,0.1212,0.42,0.3284
182,1,0,3,15,0,6,0,1,0.42,0.4242,0.44,0.4925
90,1,1,3,9,0,0,0,1,0.26,0.2576,0.6,0.2239
97,1,0,1,12,0,0,0,1,0.3,0.3182,0.52,0.1045
404,2,0,4,19,0,4,1,1,0.62,0.6212,0.43,0.2985
221,1,1,3,12,0,1,1,1,0.48,0.4697,0.39,0.2239
1,2,0,4,4,0,4,1,1,0.34,0.3333,0.76,0.194
493,3,1,9,13,0,0,0,3,0.72,0.697,0.74,0.0896
15,1,0,2,0,0,3,1,1,0.22,0.2576,0.41,0.0896
7,4,0,10,2,0,1,1,1,0.4,0.4091,0.87,0.1045
64,1,1,2,23,0,0,0,1,0.26,0.2576,0.56,0.1642
227,2,0,5,9,0,5,1,1,0.7,0.6515,0.65,0.2836
448,2,1,6,16,0,1,1,1,0.66,0.6212,0.39,0.4627
48,4,1,12,0,0,5,1,1,0.24,0.2576,0.7,0.1045
143,4,0,10,20,0,5,1,3,0.34,0.3182,0.61,0.2239
158,1,1,2,12,0,4,1,1,0.26,0.2273,0.48,0.3284
39,3,0,9,2,1,1,0,2,0.68,0.6364,0.79,0.1642
3,4,0,12,6,0,0,0,1,0.2,0.2121,0.59,0.1343
35,1,0,3,6,0,2,1,1,0.22,0.2273,0.8,0.194
251,2,0,5,10,0,0,0,2,0.66,0.6061,0.83,0.2239
212,3,1,9,22,0,3,1,1,0.56,0.5303,0.64,0.0896
6,1,1,3,2,0,4,1,2,0.46,0.4545,0.94,0.2836
380,3,0,9,17,0,0,0,1,0.72,0.6667,0.51,0.1343
103,1,1,3,11,0,1,1,2,0.26,0.2727,0.56,0.1343
285,2,1,6,9,0,2,1,2,0.64,0.5758,0.89,0.2836
141,3,1,9,16,0,2,1,3,0.6,0.5455,0.88,0.2985
471,1,1,1,8,0,2,1,2,0.18,0.197,0.93,0.1642
185,4,0,10,9,0,0,0,1,0.5,0.4848,0.77,0
117,4,1,12,0,0,0,0,2,0.3,0.3182,0.87,0.0896
227,1,1,2,11,0,0,0,1,0.28,0.2576,0.41,0.2836
447,3,0,6,8,0,1,1,1,0.66,0.6212,0.74,0.194
129,4,0,10,9,0,6,0,3,0.4,0.4091,0.82,0.3582
115,2,0,5,23,0,5,1,1,0.52,0.5,0.72,0.1642
251,3,1,8,11,0,5,1,3,0.68,0.6364,0.79,0.1343
36,2,1,5,0,0,2,1,1,0.58,0.5455,0.83,0.2537
3,1,0,3,4,0,0,0,1,0.26,0.2576,0.56,0.2239
9,3,1,8,3,0,3,1,1,0.62,0.5909,0.73,0.1045
190,4,0,12,9,0,1,1,2,0.36,0.3636,0.87,0.0896
101,2,0,3,13,0,4,1,2,0.32,0.303,0.7,0.2239
6,3,1,7,4,0,5,1,1,0.74,0.697,0.66,0.2239
110,3,0,8,6,0,3,1,3,0.72,0.6818,0.66,0.4925
117,2,1,3,6,0,4,1,1,0.46,0.4545,0.59,0.2537
440,2,0,5,8,0,4,1,1,0.42,0.4242,0.5,0.2537
67,2,1,4,0,0,0,0,2,0.36,0.3333,0.76,0.2537
53,4,1,11,23,0,1,1,1,0.26,0.2727,0.6,0.1343
19,4,1,10,2,0,5,1,2,0.52,0.5,0.88,0.1045
263,2,0,4,18,1,5,0,2,0.46,0.4545,0.67,0.3881
39,1,0,2,0,0,6,0,2,0.24,0.2424,0.7,0.1642
208,4,1,9,10,0,4,1,2,0.7,0.6515,0.51,0.2836
116,4,1,9,1,0,0,0,1,0.5,0.4848,0.59,0
255,3,1,8,14,0,3,1,2,0.76,0.697,0.52,0.2985
290,4,1,11,12,0,5,1,1,0.4,0.4091,0.43,0.2836
233,3,1,8,22,0,3,1,1,0.72,0.697,0.74,0.1045
2,2,0,3,6,0,0,0,3,0.16,0.1818,0.86,0.1343
45,1,0,2,22,0,6,0,1,0.26,0.2727,0.93,0.1343
25,3,0,7,3,0,0,0,1,0.66,0.6212,0.74,0.0896
772,3,1,7,18,0,2,1,1,0.9,0.803,0.33,0.194
28,1,0,12,5,0,3,1,2,0.38,0.3939,0.82,0.1045
363,2,1,6,20,0,6,0,1,0.76,0.6667,0.35,0.2239
6,2,1,3,5,0,0,0,2,0.4,0.4091,1,0.2537
671,3,1,8,18,0,5,1,2,0.82,0.803,0.59,0.2537
198,3,1,9,11,0,2,1,2,0.74,0.697,0.7,0.2836
3,1,1,1,3,0,1,1,1,0.24,0.2424,0.52,0.1642
11,4,0,11,1,0,4,1,2,0.4,0.4091,0.87,0
133,4,1,10,6,0,4,1,3,0.62,0.5455,0.94,0.0896
171,2,0,6,23,0,5,1,1,0.58,0.5455,0.46,0.1045
267,2,0,5,19,0,6,0,1,0.56,0.5303,0.43,0.194
131,4,0,10,10,0,3,1,2,0.52,0.5,0.62,0.2537
10,4,1,10,5,0,0,0,1,0.38,0.3939,0.66,0.0896
333,2,1,5,13,0,5,1,1,0.74,0.6818,0.62,0.1343
6,3,0,7,4,0,3,1,2,0.68,0.6364,0.83,0.0896
151,3,1,9,22,0,2,1,3,0.58,0.5455,0.83,0.4627
78,3,1,6,7,0,6,0,1,0.64,0.5758,0.83,0.1642
21,4,1,9,1,0,4,1,1,0.6,0.5758,0.78,0.0896
263,4,1,11,20,0,3,1,1,0.32,0.3333,0.36,0.1343
1,2,0,4,3,0,2,1,2,0.58,0.5455,0.56,0.1343
486,4,0,10,18,0,1,1,1,0.54,0.5152,0.6,0.0896
438,3,0,7,8,0,3,1,1,0.74,0.7121,0.74,0
90,3,0,7,14,0,1,1,2,0.72,0.697,0.79,0.194
5,4,1,11,4,0,4,1,2,0.28,0.2879,0.65,0.1343
649,3,1,8,19,0,3,1,1,0.7,0.6515,0.61,0.1343
129,4,0,11,10,0,2,1,1,0.42,0.4242,0.71,0.0896
769,2,1,5,17,0,1,1,2,0.6,0.6212,0.53,0.3284
526,2,1,6,7,0,4,1,1,0.5,0.4848,0.82,0.1642
183,3,0,7,9,0,0,0,1,0.8,0.7424,0.49,0
263,1,1,12,15,0,5,1,2,0.3,0.2727,0.42,0.3881
180,3,1,9,6,0,1,1,1,0.5,0.4848,0.72,0.1343
291,2,0,5,20,0,2,1,1,0.54,0.5152,0.6,0.1343
40,3,1,7,3,0,6,0,2,0.7,0.6515,0.54,0.1045
106,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836
94,4,0,10,6,0,1,1,2,0.36,0.3788,0.71,0
34,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194
102,3,0,8,6,0,4,1,1,0.66,0.6061,0.83,0.3284
7,3,1,8,4,0,1,1,2,0.6,0.5606,0.83,0.0896
495,2,1,4,11,0,6,0,1,0.44,0.4394,0.24,0.2985
421,2,0,4,8,0,5,1,1,0.54,0.5152,0.39,0.2985
221,1,1,3,14,0,1,1,2,0.58,0.5455,0.32,0.2836
6,4,1,10,4,0,3,1,1,0.5,0.4848,0.77,0.0896
127,3,1,9,8,1,1,0,2,0.7,0.6667,0.84,0.1045
95,2,0,4,21,0,0,0,1,0.44,0.4394,0.88,0.194
3,1,1,1,1,0,4,1,3,0.36,0.3485,0.93,0.194
130,4,1,11,11,0,1,1,1,0.4,0.4091,0.37,0.2985
11,4,1,11,2,0,2,1,3,0.36,0.3182,0.87,0.4478
56,4,1,10,3,0,6,0,1,0.54,0.5152,0.77,0.2239
404,3,0,9,15,0,0,0,1,0.74,0.6667,0.51,0.2985
177,1,1,2,21,0,4,1,1,0.3,0.3182,0.52,0.0896
40,4,1,9,0,0,3,1,1,0.58,0.5455,0.64,0.2985
117,2,0,4,15,0,3,1,1,0.52,0.5,0.32,0.3284
4,4,1,10,3,0,3,1,1,0.5,0.4848,0.77,0.0896
